time_s,fixed_total_bps,greedy_total_bps,opt_total_bps,fixed_min_bps,greedy_min_bps,opt_min_bps,fixed_jain,greedy_jain,opt_jain
36.000000,1709399497.460545,1901588172.659842,1888912796.447541,43147297.240180,75786251.229626,71281663.779475,0.895366,0.989091,0.978654
37.000000,1704883436.876541,1896472339.530996,1883238257.144359,42962716.654468,75611414.056216,70953880.814118,0.895383,0.988855,0.978100
38.000000,1703625338.508565,1895054759.371762,1880741082.321548,43588836.774933,75164597.772407,71818999.737795,0.896619,0.986897,0.978105
39.000000,1701342154.201581,1891465535.573895,1877693306.918971,43604000.285616,74264384.423830,72211487.477923,0.897732,0.984739,0.978115
40.000000,1698275435.751776,1885778761.194747,1873014235.840255,43459727.718456,73688024.664983,72314057.856060,0.898441,0.983372,0.977811
41.000000,1695025294.450145,1880848526.367198,1868340345.914365,43314490.150139,73752540.086093,72422238.434743,0.899222,0.983198,0.977430
42.000000,1691793115.372981,1875771262.061503,1863701031.998153,43471934.908447,74008268.280453,72690271.358658,0.900246,0.983130,0.977195
43.000000,1690245332.530350,1871999986.275465,1860731459.037324,43706894.907451,74438774.197610,73074428.555498,0.901720,0.983261,0.977218
44.000000,1690434406.497668,1868934931.892137,1858749287.027791,44031784.049803,74874380.170313,73451837.427731,0.903444,0.983590,0.977487
45.000000,1690961549.123643,1865543770.861761,1856469164.688542,44385253.222588,75332468.006103,73876553.810006,0.905296,0.984159,0.978017
46.000000,1691889417.604260,1862200276.419352,1854298803.428330,44755935.159219,75757158.244976,74326195.852159,0.907180,0.984653,0.978493
47.000000,1694099876.381794,1859157361.180688,1852748838.326207,45170589.139025,76173967.623841,74855812.340427,0.909237,0.985297,0.979149
48.000000,1695725328.985864,1854773636.510475,1850000356.132329,45571091.623712,76580299.470446,75351217.834784,0.911235,0.985965,0.979809
49.000000,1697969641.199835,1852829594.204712,1848141469.934256,46013479.819687,75927877.286566,75904228.114896,0.913278,0.984661,0.980370
50.000000,1700628089.388189,1850252317.718819,1846540947.298356,46523360.375315,75252178.605628,76340204.453333,0.915636,0.983284,0.980895
51.000000,1704631183.500986,1847395669.517125,1844723349.076690,47014604.754882,75133808.062264,76781470.695327,0.917759,0.982963,0.981398
52.000000,1707844575.765972,1845255397.748969,1843068971.327753,47451370.046330,75570544.825307,77210802.882909,0.919760,0.983655,0.981836
53.000000,1710626365.290323,1842082813.915796,1840479913.982739,47895274.095119,75995153.376848,77632201.050879,0.921791,0.984310,0.982231
54.000000,1713129036.461165,1838802624.789876,1837854340.280251,48356735.866231,76425726.666396,77932568.884839,0.923833,0.984862,0.982534
55.000000,1716089729.235338,1834395273.296572,1834139236.388105,48740841.709444,76834747.223098,77774833.759277,0.925460,0.985326,0.982772
56.000000,1721571956.531379,1833577513.796909,1834264532.396849,48948972.330054,77201171.717237,77627072.552340,0.926238,0.985930,0.983323
57.000000,1729774663.964015,1838789718.666571,1838256106.974247,49282361.569181,76600658.622234,77494300.545475,0.927235,0.985079,0.984137
58.000000,1739182266.309616,1844461263.452869,1843354190.778264,49766972.951271,76063560.751737,77382954.436802,0.928647,0.984234,0.985111
59.000000,1746908955.369077,1848971391.478800,1847638729.463201,50117649.918252,75831157.042445,77292433.942961,0.929723,0.984180,0.985997
60.000000,1753717595.974404,1851363462.654543,1849492014.571395,50341396.825298,76008236.338080,77164242.769531,0.930418,0.984975,0.986720
61.000000,1759954593.096625,1852803192.337361,1851064054.344561,50578388.606343,76204030.362987,77209169.916911,0.931283,0.985753,0.987148
62.000000,1766210282.180513,1854767086.218168,1853460489.347224,50743892.363174,76281769.795506,77268117.880890,0.931847,0.986292,0.987379
63.000000,1771776360.730576,1855713234.902252,1855099087.071802,50883512.114199,76294633.934258,77333903.032031,0.932402,0.986856,0.987643
64.000000,1777644779.711045,1860334373.164301,1858511366.699132,51103153.037003,75050650.564164,77433273.633285,0.933223,0.985473,0.987916
65.000000,1783761468.758939,1865198412.529017,1863310460.081965,51271007.335178,73723837.661940,77610524.124881,0.933830,0.983893,0.988236
66.000000,1789354453.085722,1868342639.800731,1866633772.315290,51402380.279915,73084883.390620,77710303.701578,0.934306,0.983312,0.988455
67.000000,1793053899.275786,1871673130.123974,1868667575.370151,51424397.241295,75287770.677901,77842215.252826,0.934542,0.985148,0.988647
68.000000,1796196397.262146,1873948904.674494,1870670365.445974,51490221.292422,75884446.755477,77400832.259380,0.935004,0.986402,0.988739
69.000000,1798255003.859517,1874539272.295889,1871255604.367754,51374991.625627,74481070.688974,76694581.702389,0.934881,0.987045,0.988636
70.000000,1801843985.469645,1876740661.623213,1872979263.178487,51505535.380296,74384957.234084,76350170.434210,0.935474,0.987744,0.988668
71.000000,1806142958.185085,1878730298.020663,1874676529.563817,51661457.610487,74252746.715964,76044287.994067,0.935957,0.988430,0.988674
72.000000,1811287559.371413,1884207897.972231,1878396927.495922,52045928.969617,74895024.269476,76084888.219819,0.936895,0.987590,0.988844
73.000000,1818806418.731154,1892318951.236741,1885599228.181323,52626510.095428,76162607.270991,76375310.817880,0.938799,0.986997,0.989366
