time_s,total_rate_bps,jain,min_rate_bps,mean_rate_bps,handovers
178.000000,1882653079.211546,0.894120,50862250.964508,94132653.960577,0.000000
179.000000,1882744434.523176,0.894110,50910782.119086,94137221.726159,0.000000
180.000000,1882890176.071146,0.894128,50907774.249991,94144508.803557,0.000000
181.000000,1881977073.204193,0.894133,50907404.446232,94098853.660210,0.000000
182.000000,1881062640.479741,0.894032,50890382.215923,94053132.023987,0.000000
183.000000,1880545656.759450,0.894000,50926809.644977,94027282.837972,0.000000
184.000000,1879603132.995408,0.893965,50982128.744333,93980156.649770,0.000000
185.000000,1878671996.478804,0.893968,51029783.456310,93933599.823940,0.000000
186.000000,1878201824.469405,0.894025,51061639.822079,93910091.223470,0.000000
187.000000,1877864422.363855,0.894068,51064319.818064,93893221.118193,0.000000
188.000000,1877719657.716153,0.894133,51052856.574511,93885982.885808,0.000000
189.000000,1877141653.892419,0.894246,51027669.009721,93857082.694621,0.000000
190.000000,1877177946.586005,0.894470,51037264.986906,93858897.329300,0.000000
191.000000,1877541851.828917,0.894751,51073190.590350,93877092.591446,0.000000
192.000000,1877924810.463346,0.895013,51100599.415890,93896240.523167,0.000000
193.000000,1878033289.559583,0.895327,51117206.595020,93901664.477979,0.000000
194.000000,1877402915.660712,0.895587,51142487.971248,93870145.783036,0.000000
195.000000,1877491440.645481,0.895895,51195407.066056,93874572.032274,0.000000
196.000000,1877534077.649199,0.896016,51192410.857784,93876703.882460,0.000000
197.000000,1877104116.989813,0.896087,51140326.640305,93855205.849491,0.000000
198.000000,1876352552.291477,0.896284,51091732.409048,93817627.614574,0.000000
199.000000,1875878003.764110,0.896454,51061182.004969,93793900.188206,0.000000
200.000000,1875149375.693563,0.896475,51006469.622393,93757468.784678,0.000000
201.000000,1874962903.931615,0.896526,50921177.180783,93748145.196581,0.000000
202.000000,1875231690.882044,0.896573,50873795.813543,93761584.544102,0.000000
203.000000,1875425150.245665,0.896473,50768192.452253,93771257.512283,0.000000
204.000000,1875349038.432134,0.896375,50673605.243271,93767451.921607,0.000000
205.000000,1875842264.700468,0.896226,50595332.896189,93792113.235023,0.000000
206.000000,1875792027.871005,0.896192,50546783.056361,93789601.393550,0.000000
207.000000,1875657490.122449,0.896212,50554157.061554,93782874.506122,0.000000
208.000000,1874990989.704585,0.896307,50606194.316067,93749549.485229,0.000000
