time_s,fixed_total_bps,greedy_total_bps,opt_total_bps,fixed_min_bps,greedy_min_bps,opt_min_bps,fixed_jain,greedy_jain,opt_jain
147.000000,1780471127.882788,1850091818.034796,1847882515.677551,62996037.148946,57452086.033354,60306791.407299,0.970938,0.970902,0.973597
148.000000,1778139858.493960,1851168609.067824,1848922700.509726,62627893.812957,57037170.623660,60894916.715181,0.970440,0.970740,0.974305
149.000000,1778210124.832408,1854415719.138915,1852505373.612656,62265953.264324,57206160.525741,61456991.955328,0.970438,0.971388,0.975244
150.000000,1778703432.992692,1858481926.158618,1856302908.955872,61946530.782378,57877892.422927,61868076.689238,0.970321,0.972785,0.976130
151.000000,1779436940.033422,1862309243.168999,1860005135.455262,61848365.866589,58605903.071750,62325601.208376,0.970167,0.974083,0.976947
152.000000,1780369212.679454,1865821965.859321,1863518668.261672,61617321.808067,59388465.038278,62829356.745579,0.969854,0.975308,0.977699
153.000000,1780110512.420047,1868598410.314155,1866243270.167250,61399987.834304,60118223.499636,63271528.281940,0.969350,0.976357,0.978295
154.000000,1779601370.410005,1870891263.978056,1868591717.751043,61503590.668727,60623647.139610,63477566.163728,0.968945,0.977335,0.978887
155.000000,1778772072.562964,1872112301.947898,1869973960.500707,61346148.646697,61126674.214921,63675116.722069,0.968333,0.978245,0.979425
156.000000,1778969525.442594,1874498800.839486,1872507785.837505,61768109.536291,61805658.651633,64044631.477639,0.967917,0.979215,0.980055
157.000000,1779194933.134919,1877072467.620973,1875259031.450826,62814289.856576,62561884.959932,64486205.496935,0.967689,0.980150,0.980699
158.000000,1780528469.675622,1880747052.956289,1879088618.311683,61872313.908351,63130990.620309,64731473.454933,0.967554,0.981018,0.981283
159.000000,1782602665.501593,1884770279.906344,1883310427.891322,61026630.000723,63641381.107286,64912267.564249,0.967474,0.981881,0.981883
160.000000,1785301572.558926,1889542238.654639,1888289911.376177,60127358.787048,64217264.436475,65153262.488510,0.967669,0.982766,0.982546
161.000000,1788302693.830512,1894277838.129251,1893258155.112267,59185277.946204,64963181.243504,65556525.772733,0.967738,0.983611,0.983183
162.000000,1791290668.449945,1898630127.974933,1897831523.800497,58122638.573239,65649286.125308,65894953.263507,0.967739,0.984293,0.983670
163.000000,1794727715.316209,1903551391.720118,1902992939.944946,57803833.345325,66199593.393396,66094616.135588,0.967823,0.984960,0.984165
164.000000,1798923094.682762,1909507026.479541,1909181376.200977,58652883.164087,66434891.132374,65979667.847441,0.968428,0.985698,0.984752
165.000000,1803013352.282363,1915148798.960695,1915051255.486520,59469379.638943,66845903.207246,66035671.351916,0.968898,0.986389,0.985286
166.000000,1807167619.170727,1920737533.648422,1920846364.501995,60430995.741416,67366553.150329,66195730.652999,0.969326,0.987037,0.985779
167.000000,1812002087.417840,1927589083.505022,1927941817.427147,61240836.908011,67885912.271395,66352730.857570,0.970170,0.987853,0.986470
168.000000,1816480505.047414,1933813089.960462,1934361618.989108,62017588.441847,68267363.687433,66371321.246583,0.970990,0.988506,0.986977
169.000000,1819907127.716035,1938725808.760994,1939416453.828058,62695044.669097,68525529.995284,66268837.238936,0.971596,0.988989,0.987308
170.000000,1823281971.619897,1943808477.828652,1944611480.127775,63336577.970472,68822875.055978,66202963.882586,0.972094,0.989487,0.987664
171.000000,1826568468.035943,1948559645.195687,1949458894.604723,63368553.142332,69413407.882963,66417060.800611,0.972292,0.989922,0.987982
172.000000,1828571007.729198,1952049451.588006,1953073984.499373,63228210.292445,69925228.240268,66553602.274132,0.972397,0.990268,0.988231
173.000000,1830653104.800754,1954985430.874220,1956061964.268378,63002988.011969,70321536.506086,66578271.007856,0.972479,0.990463,0.988308
174.000000,1833612155.434361,1958324678.635229,1959286479.325161,62626736.733231,70648443.311159,66535952.558504,0.972708,0.990577,0.988283
175.000000,1835436768.757771,1960425605.205406,1961287058.573529,62030156.283212,70892672.330087,66415643.873907,0.972708,0.990556,0.988144
176.000000,1837976420.641826,1962961003.386900,1963614221.094122,61440552.055466,70994190.734995,66162018.248945,0.972860,0.990497,0.987958
177.000000,1842004678.469408,1966744778.518381,1967000067.542643,60759012.909812,71034497.522579,65849587.690209,0.973458,0.990474,0.987749
178.000000,1845755295.394195,1969918865.804005,1969651130.050208,59970733.016418,71177574.013958,65638852.758117,0.973992,0.990476,0.987567
179.000000,1848256195.050245,1972096714.155445,1971338701.767907,59043119.523871,71522753.062465,65618436.920843,0.974318,0.990351,0.987267
180.000000,1850436342.306424,1974070999.697749,1972831425.199656,58259160.444128,71950703.934312,65673511.962126,0.974590,0.990262,0.987013
181.000000,1852438470.836154,1975998327.246534,1975015777.537999,57529703.086096,72621950.077931,66509040.552695,0.974858,0.990181,0.987192
182.000000,1854168076.013781,1977818046.659054,1977071057.173177,57194543.099278,73387296.053832,67424139.247963,0.975174,0.990118,0.987330
183.000000,1856270806.033918,1979717071.425758,1979162630.108202,56778952.415406,73919332.228513,68120231.727098,0.975417,0.989940,0.987343
184.000000,1857783997.120528,1980325615.173578,1979831009.411073,56271862.094852,74022244.831920,68403635.278173,0.975665,0.989575,0.987108
185.000000,1858957056.606726,1980249923.065675,1979770032.210198,55769160.789531,73749393.827049,68318533.184822,0.975886,0.989115,0.986748
186.000000,1860350172.432472,1980381316.547988,1979895710.275311,55290411.525980,73320902.746420,68075023.453426,0.976093,0.988648,0.986372
187.000000,1862484983.743739,1981133456.460112,1980601021.177875,54896416.831419,72806001.441823,67740005.460117,0.976331,0.988145,0.985952
188.000000,1863482499.954607,1980829085.433648,1980279401.442658,54541908.724266,72402435.612151,67503805.686844,0.976390,0.987555,0.985437
189.000000,1863411624.526480,1979664611.683363,1979142846.961964,54027124.275921,71951899.299963,67214077.917111,0.976272,0.986864,0.984823
190.000000,1863206520.100465,1978541077.346054,1978059958.357676,53538475.950987,71863271.558995,67262624.876330,0.976032,0.986210,0.984259
191.000000,1862711543.761115,1977352789.512497,1976961584.533359,52839964.396724,71853855.886524,67378454.226036,0.975596,0.985407,0.983557
192.000000,1862547605.572085,1976447595.944013,1976117097.190014,52308436.367898,71966610.696679,67603071.878790,0.975252,0.984741,0.982983
193.000000,1863638169.463882,1977329513.326068,1977091612.066288,52927296.549589,72401292.616179,68318535.383960,0.975357,0.984526,0.982803
194.000000,1864535014.920417,1978269252.515129,1978201753.845656,53456102.415957,71296422.637795,69083354.776208,0.975381,0.984316,0.982656
195.000000,1865321837.083647,1979037915.558995,1979144331.107815,53884642.786449,70284480.108360,69418057.743644,0.975445,0.984131,0.982530
196.000000,1866431329.105051,1980361849.486400,1980671906.194706,54256253.275799,69312360.724890,68812121.212042,0.975423,0.983936,0.982406
197.000000,1867067167.442865,1981027745.940017,1981523849.801955,54543097.551904,68435301.711865,68305901.090263,0.975291,0.983732,0.982282
198.000000,1868423591.455028,1982818661.440297,1983597660.578329,55003986.008140,68566826.799840,68808667.837436,0.975416,0.983923,0.982554
199.000000,1871942068.887518,1986233896.576171,1987355438.551705,55216352.825001,69584790.954525,70211992.856421,0.975848,0.984433,0.983189
200.000000,1874122499.454083,1990115586.270716,1990110768.550080,55397053.420596,70251643.244213,71578509.004865,0.976188,0.984191,0.983749
201.000000,1876491286.242400,1992148360.573821,1992653212.552255,55588446.048358,70853624.186720,72949361.038081,0.976451,0.983648,0.984243
202.000000,1878201354.604143,1993525477.275995,1994970662.332863,55895417.543759,71773871.755352,74461738.816368,0.976643,0.983534,0.984731
203.000000,1880059101.469408,1995503364.761639,1997079328.996648,56375790.713947,72808634.697070,75860436.979142,0.976826,0.983870,0.985064
204.000000,1881856772.511227,1997058301.319984,1998838888.728584,56799963.076607,73767849.836374,77177493.098148,0.976945,0.984118,0.985310
205.000000,1883354969.831257,1997879375.576721,1999916310.593464,57219309.482404,74659755.841913,77491633.685312,0.976920,0.984266,0.985445
206.000000,1884699327.907888,1998621080.312021,2000960339.414614,57470235.390078,75004496.055691,77825002.856214,0.976847,0.984467,0.985622
207.000000,1885892049.972261,2001079114.732508,2001903854.981404,57693893.346323,75891546.450478,78198836.158578,0.976631,0.984963,0.985759
208.000000,1886117264.710322,2001002156.409569,2001863427.986965,57930921.314062,76609817.182343,78584536.796287,0.976307,0.985015,0.985811
209.000000,1885822481.457971,1999957046.069767,2001215332.161217,58041851.776264,76774113.537286,78678096.578760,0.975818,0.984830,0.985744
210.000000,1884297644.700821,1998503208.635931,1999428853.560049,58284568.698798,76123177.666991,78644148.495762,0.975304,0.984699,0.985556
211.000000,1882456039.002713,1996752749.458751,1997417806.592171,57989040.481205,75194449.316661,77456347.874225,0.974841,0.984534,0.985344
